Subset,Model,Type,Training Time (s),Accuracy,Precision,Recall,F1-Score,AUCPR,TP,FP,TN,FN
subset_20%,Isolation Forest,UL,1.328986644744873,0.965766651451845,0.9980209552035678,0.965766651451845,0.9810003424934012,0.032774311496796195,80,1932,54932,18
subset_20%,Local Outlier Factor,UL,0.18872570991516113,0.9560759804782135,0.9980977561621929,0.9560759804782135,0.9759382228427941,0.028870215251361582,85,2489,54375,13
subset_20%,Histogram - based outlier detection,UL,0.0354771614074707,0.8953161756960781,0.9980688281281553,0.8953161756960781,0.9431019218852429,0.012711807683785164,86,5951,50913,12
subset_20%,Copula Based Outlier Detector,UL,0.43140554428100586,0.9078859590604262,0.9980557531487796,0.9078859590604262,0.950060414149466,0.014088814501868007,85,5234,51630,13
subset_20%,KNN Tuned,SL,0.6324529647827148,0.9990695551420246,0.9989806069313169,0.9990695551420246,0.9989822764918345,0.4783492739595446,56,11,56853,42
subset_20%,Isolation Forest Tuned,UL,1.5100624561309814,0.9865173273410344,0.9981058100877628,0.9865173273410344,0.9917882207509866,0.07724620482142058,79,749,56115,19
subset_20%,Local Outlier Factor Tuned,UL,0.20518207550048828,0.9902391067729364,0.998222864424639,0.9902391067729364,0.9937683966954963,0.11058996441237666,82,540,56324,16
subset_20%,Histogram- based outlier detection Tuned,UL,0.04004645347595215,0.897159509848671,0.998049911619937,0.897159509848671,0.9441284595742653,0.012660682660234191,85,5845,51019,13
subset_20%,Random Forest Tuned,SL,0.09560036659240723,0.9989642217618764,0.9988488234224535,0.9989642217618764,0.9988595232747479,0.4252973518328367,52,13,56851,46
subset_20%,Multi-layer Perceptron Tuned,SL,1.967350959777832,0.9988237772550121,0.9986723081571675,0.9988237772550121,0.9986171879030105,0.3312572285203642,39,8,56856,59
subset_20%,XGBoost Tuned,SL,0.10918045043945312,0.9991397773954567,0.9990700447404254,0.9991397773954567,0.9990826819347826,0.5236251975598006,62,13,56851,36
subset_20%,LightGBM Tuned,SL,0.21999144554138184,0.9990519995786665,0.9989610648956143,0.9990519995786665,0.9989731162143763,0.4743349384475333,57,13,56851,41
subset_20%,CatBoost Tuned,SL,0.21093297004699707,0.9991748885221726,0.9991128664213654,0.9991748885221726,0.9991254579983091,0.5434010237950423,64,13,56851,34
subset_20%,Label Propagation Tuned,SSL,2.1956496238708496,0.9991748885221726,0.9991105324753429,0.9991748885221726,0.9991201234884648,0.5406144447175311,63,12,56852,35
subset_20%,Label Spreading Tuned,SSL,2.183122158050537,0.9991924440855307,0.999131692442237,0.9991924440855307,0.9991414697934525,0.5505431834613694,64,12,56852,34
subset_30%,Random Forest,SL,0.9524714946746826,0.9991222218320986,0.9990696934185529,0.9991222218320986,0.9990885151542503,0.5297162969778942,66,18,56846,32
subset_30%,Multi-layer Perceptron,SL,0.7472472190856934,0.9992802219023208,0.9992391065360363,0.9992802219023208,0.9992504443038419,0.6029011943282417,70,13,56851,28
